sample_id,event_id,date,latitude,longitude,elevation_m,slope_deg,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,label,sample_type,exclusion_distance_m,random_seed,terrain_source,terrain_resolution_m,rainfall_source,rainfall_native_resolution_m,crs
BG_189,,2024-05-28,23.723772191729516,92.6160604802529,637.5434,19.5752,153.38121032714844,273.8194465637207,292.0539264678955,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_190,,2024-05-28,23.992458293209665,92.97772221363942,309.60312,30.73118,92.24658966064453,184.7187843322754,184.7187843322754,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_191,,2024-05-28,23.722155224218103,92.8828601196364,345.22336,35.940598,131.27294921875,213.93901824951172,230.55496215820312,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_192,,2024-05-28,23.585521469503522,92.55030380145536,365.92575,24.101164,131.57156372070312,264.21384048461914,302.5195198059082,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_193,,2024-05-28,23.948261181230986,92.46164008291275,208.3529,16.27251,187.2071533203125,298.9837532043457,298.9837532043457,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_194,,2024-05-28,23.886277426626737,92.89498737597201,430.4407,27.38338,156.0974578857422,246.51656341552734,246.51656341552734,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_195,,2024-05-28,23.744523274792677,92.56485650905809,606.6944,9.5047455,137.5864715576172,262.4698257446289,281.1665325164795,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_196,,2024-05-28,23.511410458563663,92.49397943314106,543.86743,30.9696,106.26556396484375,231.5287971496582,267.8084716796875,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_197,,2024-05-28,23.905411542178484,92.52685777253983,43.0,0.0,190.43728637695312,305.7191848754883,305.7191848754883,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_198,,2024-05-28,23.843427787574235,92.67265434315243,286.92038,30.928402,155.36178588867188,265.36684799194336,265.36684799194336,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_199,,2024-05-28,23.892206307501926,92.65675416262351,195.86699,15.085324,138.96986389160156,255.11741638183594,255.11741638183594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_200,,2024-05-28,23.746140242304094,92.52847474005125,267.9136,34.035244,163.15553283691406,307.5698013305664,307.5698013305664,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_201,,2024-05-28,23.924815152315464,92.5416799747278,255.77849,24.432482,190.43728637695312,305.7191848754883,305.7191848754883,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_202,,2024-05-28,23.53108356328588,92.88043466836928,553.24567,35.098404,140.8377227783203,230.71803665161133,267.78420639038086,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_203,,2024-05-28,23.892475802087162,92.55704116608625,281.552,3.7839763,160.7626953125,264.80003356933594,264.80003356933594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_204,,2024-05-28,23.761770928247774,92.88339910880687,252.52989,31.98692,146.19754028320312,231.4242706298828,247.65005111694336,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_205,,2024-05-28,23.558572010979937,92.57482780871182,965.79816,21.020618,125.38365936279297,225.3696632385254,271.6198081970215,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_206,,2024-05-28,23.940984827429617,92.63573358497511,182.46849,17.187847,149.15887451171875,257.1335334777832,257.1335334777832,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_207,,2024-05-28,23.908645477201315,92.9483473038487,879.08746,44.45464,114.37263488769531,209.96936416625977,209.96936416625977,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_208,,2024-05-28,23.61220143344187,92.77398430720112,361.21695,10.935986,128.6545867919922,223.65303421020508,263.5138053894043,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_209,,2024-05-28,23.84908717386419,92.84432239394768,318.8683,36.55672,148.03797912597656,252.58111190795898,252.58111190795898,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_210,,2024-05-28,23.47368121663064,92.77802672597966,635.4947,11.296926,137.80337524414062,267.517147064209,301.49647521972656,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_211,,2024-05-28,23.590641866623002,92.89094495719347,338.99448,15.165964,124.7547836303711,192.8963680267334,229.84925651550293,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_212,,2024-05-28,23.6793055851656,92.96020506559908,947.2064,34.95416,118.6979751586914,184.82564544677734,217.03961086273193,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_213,,2024-05-28,23.99677020657344,92.61094008313341,198.47614,19.090004,164.02464294433594,291.6515884399414,291.6515884399414,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_214,,2024-05-28,23.784138978822348,92.83003918093017,346.77844,37.09209,145.95169067382812,239.90277862548828,257.31964683532715,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_215,,2024-05-28,23.518417317779793,92.69636986665319,653.3297,23.686092,136.76318359375,248.15062713623047,283.33372497558594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_216,,2024-05-28,23.47961009750583,92.67292383773767,304.64883,23.802734,103.66326141357422,232.81374740600586,262.8345699310303,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_217,,2024-05-28,23.96820378053844,92.50502871113572,580.7614,24.402075,203.15513610839844,320.5421829223633,320.5421829223633,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_218,,2024-05-28,23.590102877452534,92.97772221363942,1178.1919,28.505426,115.84728240966797,187.52660369873047,213.24666786193848,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_219,,2024-05-28,23.99865666867009,92.55488520940436,79.01959,11.748609,199.29632568359375,315.9958839416504,315.9958839416504,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_220,,2024-05-28,23.60384710129956,92.76212654545074,544.9607,13.96148,128.6545867919922,223.65303421020508,263.5138053894043,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_221,,2024-05-28,23.528927606603993,92.7648214913031,727.0902,35.0902,136.4126434326172,244.1869888305664,277.0615119934082,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_222,,2024-05-28,23.50629006144418,92.61471300732673,605.78534,34.467262,128.1201934814453,225.95767211914062,263.3019714355469,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_223,,2024-05-28,24.059023455762922,92.88393809797735,642.6683,26.091715,124.54024505615234,257.87854766845703,257.87854766845703,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_224,,2024-05-28,23.869568762342116,92.78853701480385,207.42436,24.590563,144.4098663330078,272.0410957336426,272.0410957336426,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_225,,2024-05-28,23.816747823635886,92.48212167139069,1058.5347,20.648008,173.9872589111328,313.9410858154297,313.9410858154297,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_226,,2024-05-28,23.98949385277207,92.92651824244462,1019.3939,45.740322,114.96668243408203,220.0229263305664,220.0229263305664,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_227,,2024-05-28,23.816208834465417,92.5085321407438,359.1839,32.15895,175.89549255371094,295.497013092041,295.497013092041,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_228,,2024-05-28,24.067108293319997,92.50017780860148,515.49023,25.473148,172.09210205078125,300.0973129272461,300.0973129272461,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_229,,2024-05-28,23.543210819621493,92.61255705064484,508.9702,28.105444,128.1201934814453,225.95767211914062,263.3019714355469,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_230,,2024-05-28,23.70517706534824,92.88420759256257,304.5784,18.266464,131.27294921875,213.93901824951172,230.55496215820312,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_231,,2024-05-28,23.888433383308627,92.80039477655423,262.8117,7.0336037,144.4098663330078,272.0410957336426,272.0410957336426,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_232,,2024-05-28,24.008358473738582,92.72574477644389,572.1059,21.292622,143.74636840820312,283.4876823425293,283.4876823425293,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_233,,2024-05-28,23.862292408540746,92.46622149086177,632.79004,34.0582,169.584228515625,299.6661720275879,299.6661720275879,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_234,,2024-05-28,23.491737353841444,92.76347401837691,781.48474,15.05289,137.80337524414062,267.517147064209,301.49647521972656,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_235,,2024-05-28,23.925354141485936,92.83866300765771,223.80627,35.94099,145.23460388183594,241.41971588134766,241.41971588134766,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_236,,2024-05-28,23.985451433993532,92.81575596791266,231.18036,34.41048,107.90179443359375,251.52999114990234,251.52999114990234,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_237,,2024-05-28,23.590102877452534,92.45921463164564,840.59894,26.609148,114.01127624511719,241.88836669921875,276.4680824279785,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_238,,2024-05-28,23.587407931600172,92.53278665341502,379.68118,35.520153,131.57156372070312,264.21384048461914,302.5195198059082,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_239,,2024-05-28,24.021563708415137,92.7912319606562,635.1616,16.505943,142.43124389648438,283.56897354125977,283.56897354125977,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_240,,2024-05-28,24.049860639864903,92.84324441560673,130.46925,25.602615,124.33464813232422,252.15615463256836,252.15615463256836,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_241,,2024-05-28,23.632413527334563,92.48346914431686,595.80365,23.945892,135.25204467773438,276.68790435791016,298.0708980560303,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
